n,x
1,0.79800
2,0.61254
3,0.90187
4,0.33631
5,0.84818
6,0.48933
7,0.94957
8,0.18198
9,0.56568
10,0.93361
11,0.23554
12,0.68423
13,0.82103
14,0.55837
15,0.93705
16,0.22414
17,0.66083
18,0.85171
19,0.47994
20,0.94847
21,0.18572
22,0.57467
23,0.92881
24,0.25126
25,0.71489
26,0.77452
27,0.66363
28,0.84826
29,0.48912
30,0.94955
31,0.18204
32,0.56582
33,0.93354
34,0.23577
35,0.68470
36,0.82036
37,0.55999
38,0.93632
39,0.22656
40,0.66588
41,0.84543
42,0.49657
43,0.94996
44,0.18065
45,0.56247
46,0.93517
47,0.23038
48,0.67375
49,0.83528
50,0.52284
51,0.94802
52,0.18726
53,0.57834
54,0.92668
55,0.25820
56,0.72782
57,0.75277
58,0.70722
59,0.78683
60,0.63736
61,0.87830
62,0.40617
63,0.91655
64,0.29065
65,0.78346
66,0.64467
67,0.87047
68,0.42845
69,0.93055
70,0.24559
71,0.70405
72,0.79178
73,0.62649
74,0.88920
75,0.37438
76,0.89004
77,0.37191
78,0.88765
79,0.37895
80,0.89432
81,0.35914
82,0.87461
83,0.41675
84,0.92366
85,0.26794
86,0.74537
87,0.72122
88,0.76404
89,0.68508
90,0.81984
91,0.56128
92,0.93573
93,0.22853
94,0.66995
95,0.84024
96,0.51010
97,0.94961
98,0.18182
99,0.56530
100,0.93379
